3.06	-1.3	0.992	3.46	-0.0131	-2.92	0
4.44	-0.257	0.162	3.74	0.498	-3.29	0
4.85	0.157	-0.095	5.13	1.07	-1.82	0
3.39	0.554	-1.36	3.71	0.307	-2.86	0
4.81	0.0162	0.348	2.88	-0.0721	-1.76	0
2	-0.93	-0.577	4.1	-0.36	-1.91	0
3.98	0.192	0.758	3.03	-0.256	-2.05	0
4.03	0.12	0.914	4.97	1.19	-2.15	0
2.64	-0.471	1.34	5.19	1.71	-3.21	0
3.34	0.759	-0.229	4.58	-0.203	-2.37	0
3.71	-1.43	-0.988	3.44	1.59	-3.49	0
3.27	-1.95	-0.629	3.59	1.51	-3.69	0
4.39	-0.437	2.17	3.2	0.544	-3.77	0
2.76	0.645	1.38	5.07	0.266	-2.1	0
3.79	0.663	0.495	5.07	1.61	-2.55	0
3.67	-0.148	0.155	2.3	-0.795	-3.11	0
4.95	0.0591	-0.0293	3.47	-0.897	-3.09	0
2.58	-0.684	2.08	4.13	-1.28	-2.85	0
4.72	0.0357	-0.988	4.08	-0.656	-2.45	0
3.54	-0.103	-0.0705	3.74	1.51	-2.31	0
3.69	0.536	-0.475	5.65	0.225	-2.85	0
3.63	0.484	0.025	4.9	-1.79	-0.791	0
4.79	0.841	0.656	3.04	0.45	-3.79	0
2.94	-1.35	-0.199	3.93	0.627	-1.91	0
3.38	-1.51	-0.405	3.56	-0.0228	-1.82	0
5.42	1.06	0.241	3.5	0.234	-3.85	0
3.22	-0.648	1.12	3.84	-1.14	-1.66	0
3.6	-1.18	0.3	3.22	1.04	-2.56	0
2.05	-0.219	-0.139	5.16	0.699	-2.72	0
2.83	-1.07	-0.577	3.04	-0.234	-3.37	0
4.66	-0.414	-1.33	3.66	-0.108	-2.74	0
4.24	0.0465	0.913	3.92	0.197	-2.2	0
4.19	0.988	0.489	4.73	-1.02	-2.67	0
5.24	0.983	1.33	5.07	-0.146	-2.93	0
4.07	-0.512	0.27	2.72	-1.34	-2.2	0
3.91	-0.654	-0.287	4.9	0.761	-1.79	0
3.61	-0.18	1.1	5.66	0.6	-2.36	0
4.32	-1.22	-0.236	4.97	-0.477	-2.87	0
2.82	0.144	0.456	3.99	0.0775	-1.57	0
5.05	0.23	-0.899	2.9	-0.04	-3.08	0
3.28	-0.388	1.87	3.21	0.172	-4.05	0
4.16	-0.464	-1.34	4.34	-2.09	-4.03	0
3.8	0.837	-1.21	3.74	0.794	-0.446	0
3.37	-1.42	1.86	2.33	-0.49	-1.78	0
4.49	-0.626	0.0114	1.65	0.032	-4.6	0
2.75	0.133	-0.336	2.79	0.688	-3.13	0
3.93	-0.907	0.152	3.55	-0.524	-2.58	0
2.33	1.01	0.843	3.45	1.66	-1.74	0
3.24	-1.63	-0.16	3.52	0.62	-2.1	0
5.23	-0.249	-0.385	3.95	0.17	-1.85	0
4.87	0.586	1.13	3.51	-2.14	-0.84	0
3.03	0.373	1.48	3.66	0.0561	-4.43	0
-1.87	-2.23	-1.64	-0.479	-3.96	-0.702	1
-1.15	-5.65	-1.48	0.0669	-4.1	-0.431	1
-1.18	-2.97	-2.04	-0.0207	-2.78	0.921	1
-0.865	-4.18	-0.87	0.241	-4.54	-0.231	1
-2.08	-3.05	-0.99	-0.767	-2.83	0.905	1
-3.21	-4.99	0.659	2.06	-4.86	-0.313	1
0.484	-3.93	-1.03	0.354	-3.89	0.994	1
-1.43	-4.36	-1.4	1.22	-4.13	0.917	1
0.405	-2.51	-1.65	1.96	-4.62	-0.431	1
-0.865	-5.33	-1.95	0.262	-4.38	0.00108	1
-2.31	-3.7	-0.92	1.13	-4.81	1.71	1
-2.45	-1.87	-1.43	0.329	-4.51	0.0105	1
-1.66	-2.62	-0.228	0.962	-6.37	1.2	1
-4.22	-5.45	-1.9	0.593	-3.21	0.0758	1
-0.882	-3.59	-1.31	0.932	-4.4	0.355	1
-3.16	-3.3	-1.73	3.11	-3.68	0.878	1
-1.93	-3.71	-1.8	1.28	-4.26	-0.0701	1
-2.72	-4.05	-1.87	-1.04	-3.16	1.5	1
-1.46	-3.07	-0.6	0.191	-5.19	-0.0603	1
-2.74	-2.48	-0.986	-0.167	-5.34	0.802	1
-0.818	-4.18	-0.687	-0.511	-1.98	0.752	1
-1.32	-2.34	-0.466	0.511	-5.53	-0.227	1
-2.53	-3.05	-1.87	1.07	-3.53	1.32	1
-0.948	-3.66	-1.43	-0.0222	-4.37	-0.372	1
-1.21	-3.6	-0.79	1.61	-4.34	0.244	1
-1.25	-5.31	-0.845	1.93	-5.55	0.0653	1
-1.8	-4.79	-1.33	-0.157	-5.5	0.283	1
-1.31	-4.8	-1.88	0.194	-4.25	-0.779	1
-1.75	-3.81	-0.947	0.572	-2.65	0.794	1
-2.94	-2.88	-0.46	-0.258	-4.15	0.932	1
-0.0443	-4.37	0.00238	-0.756	-3.7	-0.0748	1
-2.21	-2.77	-2.71	0.997	-4.12	0.835	1
-0.488	-4.96	-1.47	1.82	-4.17	1.25	1
-0.39	-3.31	-1.02	0.722	-4.1	-0.36	1
-1.87	-3.27	-2	-1	-2.87	-0.406	1
-0.875	-3.57	-0.821	-0.114	-4.52	-0.0376	1
-0.673	-3.47	-1.92	-0.349	-5.36	0.54	1
-1.91	-3.9	-0.262	0.69	-4.35	-0.198	1
-2.75	-5.21	-1	-0.916	-4.79	-0.358	1
-0.547	-4.8	-1.18	-0.0128	-4.64	-1.1	1
-1.45	-2.74	-1.45	0.234	-4.67	1.11	1
-1.52	-4.51	-0.153	-0.496	-2.88	1.29	1
-0.0825	-2.67	-0.457	-0.374	-3.68	2.17	1
-0.65	-3.02	-0.809	1.32	-6.25	0.93	1
-1.48	-3.51	-0.686	0.701	-4.2	0.345	1
-2.49	-3.72	-0.318	-0.0474	-3.24	1.95	1
-1.36	-3.11	-1.39	1.57	-3.51	-1.62	1
-1.07	-2.87	-1.24	0.294	-5.3	1.25	1
-1.35	-3.03	-0.806	1.02	-2.48	0.0876	1
-3.31	-3.41	1.04	0.0233	-4.4	0.83	1
0.673	-2.41	-1.21	1.18	-4.19	0.423	1
-0.949	-4.39	-0.0001	-1.28	-5.46	0.25	1
-2.09	-4.15	1.38	0.324	-3.53	-0.0473	2
-1.89	-2.91	3.41	-1.39	-3.78	1.61	2
-0.391	-3.14	3.47	-0.762	-2.55	-0.342	2
-1.73	-3.02	2.54	-1.99	-3.56	0.22	2
-1.91	-4.7	1.1	-0.372	-2.65	1.01	2
-1.34	-4.63	1.89	-1.94	-1.69	1.12	2
-2	-3	3	-1.77	-2.38	-0.495	2
-0.313	-3.42	1.08	-0.174	-3.23	-0.591	2
-1.72	-3.82	1.95	-1.58	-1.91	-0.691	2
-0.313	-5.25	3.18	-4.11	-2.34	-0.714	2
-1.39	-5.96	2.69	-2.5	-2.15	-1.3	2
-0.149	-3.02	1.74	-0.727	-2.96	-1.51	2
-1.58	-4.64	2.4	-0.877	-3.37	1.13	2
-1.72	-5.44	2.46	-0.25	-3.94	-0.0127	2
-2.86	-5.34	2.91	-1.68	-3.28	-1.07	2
-0.567	-4.22	1.91	-1.63	-3.1	0.0838	2
-1.27	-3.62	0.363	-1.89	-1.06	-1.61	2
-2.36	-3.51	3.42	-0.858	-3.1	-0.605	2
-1.41	-5.32	2.58	-1.56	-2.49	-0.855	2
-3.51	-2.28	1.4	0.812	-4.55	-1.26	2
-0.0218	-3.31	2.23	-0.752	-1.97	-0.893	2
-1.93	-3.2	1.31	-0.596	-1.37	0.116	2
-2.48	-2.3	0.886	-3.05	-4.02	0.197	2
-1.97	-2.67	4.95	0.0527	-2.76	-1.97	2
